,Distance_to_Shore,Turbidity,Cyclone_Frequency,Depth_m,Windspeed,SSTA,SSTA_Frequency,SSTA_DHW,TSA,Temperature_Maximum_C,Exposure_cat,Realm_Central Indo-Pacific,Realm_Eastern Indo-Pacific,Realm_Temperate Australasia,Realm_Temperate Northern Atlantic,Realm_Temperate Northern Pacific,Realm_Tropical Atlantic,Realm_Tropical Eastern Pacific,Realm_Western Indo-Pacific
18216,-0.2751387854495232,-0.23866806860503495,0.03768281020533906,-0.5246760531810657,-0.3976836141675093,-2.1258496021023996,0.16151373582833575,0.07840311653640925,-0.4068485580073071,0.7985644571101793,-0.9228683347360153,1,0,0,0,0,0,0,0
26447,1.9620088512731744,0.15840745577612395,1.452635467243918,0.29084514014309365,-0.8907989740120865,-0.3224205340304314,-0.9472092388926392,-0.6777449031211723,0.25065198797249444,0.39181136752308693,-0.9228683347360153,0,0,0,0,0,1,0,0
30639,-0.007669288636818331,1.5077912293087061,0.6676358481966302,-0.8418231839182387,-0.8907989740120865,0.03119300872877806,0.0031247394396250426,-0.3152615741100636,0.7360963163127218,0.3511360585643684,-0.9228683347360153,0,0,0,0,0,1,0,0
31346,-0.26506457521930643,-0.2067001238455349,-1.6458544754341784,-0.29814238836879914,0.09543174567706793,0.6441231495114078,0.31990273221704646,-0.15545709572882213,0.5025914495161568,-1.105040002157436,1.2061526052343166,1,0,0,0,0,0,0,0
21583,-0.20592600508962697,-0.6340610695777991,-0.2443310498256464,-0.0036486241128527385,-1.3839143338566637,-0.0866781721909584,-0.7888202425039285,0.16025419082924022,0.6685028022400318,2.4581170626254867,1.2061526052343166,0,0,0,0,0,1,0,0
8005,-0.2767920965026255,-0.6845367718296412,-0.4237944152999095,0.15492494125573386,1.0816624653662223,-0.4285045968581942,-1.1055982352813498,-0.6777449031211723,-0.781685317864951,0.05827383406165083,-0.9228683347360153,0,0,0,0,0,1,0,0
30482,-0.23836046251350199,-0.647521256844957,1.3928143454191642,1.2875932653170663,0.5885471055216451,0.2669353705682511,-1.1055982352813498,-0.6777449031211723,-0.2655166649462283,-1.2840113615757356,-0.9228683347360153,0,0,0,0,0,1,0,0
28419,-0.1903379240173589,-0.019940025513718554,-0.3395565090568883,-0.29814238836879914,0.5885471055216451,-0.8528408481692457,-0.9868064879898168,-0.4614242067758332,0.2690865827195917,0.5382424797743995,1.2061526052343166,0,0,0,0,0,1,0,0
22091,0.9452369416070124,-0.5196494778069567,0.28551317205075044,-1.5667309113174914,0.09543174567706793,-0.8174794938933246,-1.2639872316700607,-0.6777449031211723,-2.3486258713682164,0.6195930976918365,1.2061526052343166,0,0,0,0,0,1,0,0
19274,-0.26846798927007554,-0.5987280780015095,0.058437076960866315,-0.5246760531810657,-0.3976836141675093,0.3965936695799612,0.16151373582833575,0.17584487164692233,0.5087363144318559,-0.13696764894016092,1.2061526052343166,1,0,0,0,0,0,0,0
21263,-0.2731283906009328,-0.5802203205091674,-0.5629700864840321,0.6079922708802669,0.5885471055216451,2.282532564295745,2.8541266744364173,-0.14181525001335032,1.768433622150167,-2.073112355374717,-0.9228683347360153,0,0,0,0,0,0,0,1
17785,-0.27484906361545497,0.4191985840773088,0.49916003571058765,0.6079922708802669,0.5885471055216451,-0.8174794938933246,0.47829172860575714,2.512498159197026,0.1031752299957165,1.2215876702807407,-0.9228683347360153,1,0,0,0,0,0,0,0
5406,2.569660831253814,-0.3261592858415614,-1.1269978065460022,-0.29814238836879914,-0.3976836141675093,1.1981176998341694,-0.31365325333779637,0.8969138594647192,-0.0504463928967605,-0.2996688847749886,-0.9228683347360153,1,0,0,0,0,0,0,0
1745,0.1398684488641745,-0.2420331154218244,-1.2918111013693054,-0.4114092207749324,1.0816624653662223,0.8209299208910126,-0.15526425694908566,1.2340623321470945,0.4411428003591659,0.39181136752308693,-0.9228683347360153,0,0,0,0,0,0,0,1
30472,-0.22093856649151128,1.761852263976312,1.2206760152703804,-1.023050115768052,-0.8907989740120865,0.19621266201640916,-0.15526425694908566,-0.43414051534488957,0.26294171780389264,1.3842889061155683,-0.9228683347360153,0,0,0,0,0,1,0,0
31409,1.7970773397340847,0.5184674651725986,1.6223321189508744,-1.0910102152117318,1.5747778252107996,1.3513502350298268,0.16151373582833575,-0.26264302635038655,-0.35154477376601534,0.5951879123166331,-0.9228683347360153,0,0,0,0,0,1,0,0
4078,-0.22466636435649673,0.027170629921334143,0.9179078884838686,0.22288504069941395,-0.3976836141675093,1.3042017626619322,0.9011903489636147,2.146117159981497,1.369017402629727,-0.5843960474859717,0.1416421352491507,0,0,0,0,0,1,0,0
3940,-0.23983719366773656,-0.5617125630168253,-1.9193224609187702,1.1063663334672529,-0.8907989740120865,0.6794845037873288,-0.9472092388926392,-0.4809125577979359,0.6623579373243329,-0.11256246356491133,1.2061526052343166,0,0,0,0,0,1,0,0
30331,-0.25949053641171504,2.5257178913875244,-0.462861270369137,-0.9777433828055987,-0.3976836141675093,-0.8882022024451665,0.6366807249944678,-0.6777449031211723,-4.241244265403533,0.87991507502757,-0.9228683347360153,0,0,1,0,0,0,0,0
103,-0.20849753161684148,-0.7753930358829573,-0.42013189763716935,0.5966655876396534,-0.3976836141675093,0.7855685666150917,-0.31365325333779637,0.40970508391215377,1.0126152375191804,-0.5925311092777062,0.1416421352491507,0,0,0,0,0,1,0,0
4938,-0.21025940660776618,-0.4994591969062198,1.568615193230687,0.29084514014309365,-0.8907989740120865,-0.4167174787662206,0.9534587177718893,-0.6777449031211723,-0.8369891021062427,-1.153850372907892,1.2061526052343166,0,0,0,0,0,1,0,0
13071,-0.18151089107284868,-0.33120685606674566,1.3842684708727706,-0.9777433828055987,3.0541239047445314,-0.7231825491575355,-1.1055982352813498,-0.6777449031211723,-1.8939058676064846,-0.6250713564446441,-0.9228683347360153,1,0,0,0,0,0,0,0
27514,-0.25271902428995024,-0.8039959338256679,0.0010576335779378674,-1.1363169481741853,0.5885471055216451,-0.8292666119852983,-0.15526425694908566,-0.6777449031211723,-0.35768963868171444,-0.5437207385272533,-0.9228683347360153,0,1,0,0,0,0,0,0
5326,0.28239524123507626,-0.3379369497003246,-0.2846187441157869,-0.29814238836879914,1.5747778252107996,-0.3577818883063523,-0.47204224972650705,0.029682238981152697,0.054016310670123885,0.4650269236487432,-0.9228683347360153,1,0,0,0,0,0,0,0
7161,0.21945300928386083,3.1415214588599993,0.0828538613791329,-0.29814238836879914,-1.3839143338566637,-2.0551268935505576,0.0031247394396250426,-0.0073456279608422655,-0.4498626124172007,0.6765385302340239,1.2061526052343166,1,0,0,0,0,0,0,0
2738,0.11613284045822422,-0.7484726613486414,0.48573080428054083,0.6079922708802669,0.5885471055216451,-1.3361126899401652,-1.2639872316700607,-0.6777449031211723,-1.5129242428331415,-0.5193155531520037,1.2061526052343166,0,0,0,0,0,1,0,0
